ID,Titre,Marque,État,Taille,Prix (€),Vues,Favoris,URL
6502816438,Set house of CB,House of CB,Neuf avec étiquette,S / 36 / 8,50.0,1120,94,https://www.vinted.fr/items/6502816438
6383858488,White cut out bandage dress House of cb,House of CB,Très bon état,XS / 34 / 6,29.0,722,88,https://www.vinted.fr/items/6383858488
6454941874,Black deep v house of cb dress,House of CB,Neuf sans étiquette,XS / 34 / 6,157.0,48,4,https://www.vinted.fr/items/6454941874
6502784001,Robe de soirée Luisa Spagnoli,Luisa Spagnoli,Très bon état,XS / 34 / 6,409.0,149,13,https://www.vinted.fr/items/6502784001
6502212633,Wolford limited edition bodysuit,Wolford,Neuf avec étiquette,S / 36 / 8,125.0,223,23,https://www.vinted.fr/items/6502212633
6454845907,Robe longue house of cb,House of CB,Très bon état,XS / 34 / 6,67.0,110,14,https://www.vinted.fr/items/6454845907
6467066712,Robe john richmond,John Richmond,Très bon état,XS / 34 / 6,46.0,68,22,https://www.vinted.fr/items/6467066712
6467106898,Robe richmond x,John Richmond,Neuf avec étiquette,S / 36 / 8,36.0,14,5,https://www.vinted.fr/items/6467106898
6467133829,Robe été just m paris,JUST M,Neuf avec étiquette,S / 36 / 8,32.0,9,1,https://www.vinted.fr/items/6467133829
6467956638,Short denny rose,Denny Rose,Très bon état,S / 36 / 8,10.0,12,1,https://www.vinted.fr/items/6467956638
